,Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
85,326.13,0.014301,0.095425,10.479,2446.7,2596.6,8.0237,1.4699,1.9518,445.11,141.50,10.617,0.020491,vapor
86,326.76,0.014740,0.098174,10.186,2447.5,2597.6,8.0132,1.4707,1.9529,445.50,139.70,10.637,0.020539,vapor
87,327.38,0.015190,0.10099,9.9022,2448.3,2598.7,8.0027,1.4714,1.9540,445.90,137.94,10.658,0.020588,vapor
88,328.00,0.015652,0.10387,9.6274,2449.1,2599.8,7.9923,1.4722,1.9551,446.29,136.22,10.679,0.020636,vapor
89,328.63,0.016126,0.10682,9.3614,2450.0,2600.9,7.9819,1.4730,1.9562,446.68,134.53,10.700,0.020685,vapor
90,329.25,0.016612,0.10984,9.1039,2450.8,2602.0,7.9716,1.4738,1.9574,447.07,132.87,10.722,0.020734,vapor
91,329.87,0.017111,0.11294,8.8546,2451.6,2603.1,7.9613,1.4746,1.9585,447.46,131.25,10.743,0.020783,vapor
92,330.50,0.017622,0.11610,8.6132,2452.4,2604.2,7.9511,1.4754,1.9597,447.85,129.66,10.764,0.020832,vapor
93,331.12,0.018146,0.11934,8.3793,2453.2,2605.3,7.9409,1.4762,1.9608,448.24,128.09,10.785,0.020882,vapor
94,331.74,0.018683,0.12266,8.1528,2454.1,2606.4,7.9308,1.4770,1.9620,448.63,126.56,10.806,0.020931,vapor
95,332.37,0.019234,0.12605,7.9334,2454.9,2607.5,7.9207,1.4779,1.9632,449.02,125.06,10.827,0.020981,vapor
96,332.99,0.019799,0.12952,7.7208,2455.7,2608.6,7.9107,1.4787,1.9644,449.40,123.58,10.848,0.021030,vapor
97,333.61,0.020378,0.13307,7.5148,2456.5,2609.6,7.9007,1.4796,1.9657,449.79,122.14,10.869,0.021080,vapor
98,334.24,0.020971,0.13670,7.3152,2457.3,2610.7,7.8908,1.4804,1.9669,450.17,120.72,10.890,0.021130,vapor
99,334.86,0.021579,0.14042,7.1217,2458.1,2611.8,7.8809,1.4813,1.9682,450.56,119.32,10.912,0.021180,vapor
100,335.48,0.022201,0.14422,6.9341,2458.9,2612.9,7.8711,1.4822,1.9694,450.94,117.96,10.933,0.021230,vapor
101,336.11,0.022839,0.14810,6.7522,2459.8,2614.0,7.8613,1.4831,1.9707,451.32,116.62,10.954,0.021281,vapor
102,336.73,0.023492,0.15207,6.5759,2460.6,2615.0,7.8516,1.4839,1.9720,451.70,115.30,10.975,0.021331,vapor
103,337.35,0.024162,0.15613,6.4049,2461.4,2616.1,7.8419,1.4849,1.9733,452.08,114.01,10.996,0.021382,vapor
104,337.98,0.024847,0.16028,6.2391,2462.2,2617.2,7.8323,1.4858,1.9746,452.46,112.74,11.018,0.021433,vapor
105,338.60,0.025549,0.16452,6.0782,2463.0,2618.3,7.8227,1.4867,1.9760,452.84,111.49,11.039,0.021484,vapor
106,339.22,0.026267,0.16886,5.9222,2463.8,2619.4,7.8131,1.4876,1.9773,453.21,110.27,11.060,0.021535,vapor
107,339.85,0.027003,0.17329,5.7708,2464.6,2620.4,7.8036,1.4885,1.9787,453.59,109.06,11.082,0.021586,vapor
108,340.47,0.027755,0.17781,5.6239,2465.4,2621.5,7.7942,1.4895,1.9801,453.97,107.88,11.103,0.021637,vapor
109,341.09,0.028526,0.18244,5.4813,2466.2,2622.6,7.7848,1.4905,1.9815,454.34,106.72,11.124,0.021689,vapor
110,341.71,0.029315,0.18716,5.3429,2467.0,2623.6,7.7754,1.4914,1.9829,454.71,105.59,11.146,0.021741,vapor
111,342.34,0.030122,0.19199,5.2086,2467.8,2624.7,7.7661,1.4924,1.9843,455.09,104.47,11.167,0.021792,vapor
112,342.96,0.030947,0.19692,5.0782,2468.6,2625.8,7.7568,1.4934,1.9858,455.46,103.37,11.188,0.021844,vapor
113,343.58,0.031792,0.20195,4.9517,2469.4,2626.8,7.7476,1.4944,1.9872,455.83,102.29,11.210,0.021897,vapor
114,344.21,0.032656,0.20709,4.8287,2470.2,2627.9,7.7384,1.4954,1.9887,456.20,101.23,11.231,0.021949,vapor
115,344.83,0.033540,0.21234,4.7094,2471.0,2629.0,7.7292,1.4964,1.9902,456.57,100.18,11.252,0.022001,vapor
116,345.45,0.034444,0.21770,4.5935,2471.8,2630.0,7.7201,1.4974,1.9917,456.93,99.156,11.274,0.022054,vapor
117,346.08,0.035369,0.22317,4.4809,2472.6,2631.1,7.7110,1.4985,1.9933,457.30,98.148,11.295,0.022107,vapor
118,346.70,0.036314,0.22876,4.3715,2473.4,2632.1,7.7020,1.4995,1.9948,457.67,97.156,11.317,0.022160,vapor
119,347.32,0.037281,0.23446,4.2652,2474.2,2633.2,7.6930,1.5006,1.9964,458.03,96.182,11.338,0.022213,vapor
120,347.95,0.038269,0.24027,4.1619,2475.0,2634.3,7.6841,1.5017,1.9980,458.39,95.224,11.360,0.022266,vapor
121,348.57,0.039279,0.24621,4.0616,2475.8,2635.3,7.6752,1.5027,1.9996,458.76,94.281,11.381,0.022319,vapor
122,349.19,0.040312,0.25227,3.9640,2476.6,2636.4,7.6663,1.5038,2.0012,459.12,93.354,11.402,0.022373,vapor
123,349.82,0.041367,0.25845,3.8692,2477.4,2637.4,7.6575,1.5049,2.0029,459.48,92.443,11.424,0.022427,vapor
124,350.44,0.042446,0.26475,3.7771,2478.1,2638.5,7.6488,1.5061,2.0045,459.84,91.546,11.445,0.022480,vapor
125,351.06,0.043548,0.27119,3.6875,2478.9,2639.5,7.6400,1.5072,2.0062,460.20,90.664,11.467,0.022535,vapor
126,351.69,0.044674,0.27775,3.6004,2479.7,2640.6,7.6313,1.5083,2.0079,460.55,89.796,11.488,0.022589,vapor
127,352.31,0.045824,0.28444,3.5157,2480.5,2641.6,7.6227,1.5095,2.0096,460.91,88.942,11.510,0.022643,vapor
128,352.93,0.046999,0.29126,3.4333,2481.3,2642.7,7.6140,1.5106,2.0114,461.27,88.102,11.531,0.022698,vapor
129,353.56,0.048200,0.29822,3.3532,2482.1,2643.7,7.6055,1.5118,2.0131,461.62,87.275,11.553,0.022753,vapor
130,354.18,0.049426,0.30532,3.2753,2482.9,2644.7,7.5969,1.5130,2.0149,461.97,86.461,11.574,0.022807,vapor
131,354.80,0.050678,0.31256,3.1994,2483.6,2645.8,7.5884,1.5142,2.0167,462.33,85.660,11.596,0.022863,vapor
132,355.43,0.051956,0.31993,3.1257,2484.4,2646.8,7.5800,1.5154,2.0185,462.68,84.871,11.618,0.022918,vapor
133,356.05,0.053262,0.32745,3.0539,2485.2,2647.8,7.5715,1.5167,2.0204,463.03,84.094,11.639,0.022973,vapor
134,356.67,0.054595,0.33511,2.9841,2486.0,2648.9,7.5631,1.5179,2.0222,463.38,83.330,11.661,0.023029,vapor
135,357.30,0.055956,0.34293,2.9161,2486.7,2649.9,7.5548,1.5192,2.0241,463.72,82.577,11.682,0.023085,vapor
136,357.92,0.057344,0.35089,2.8499,2487.5,2650.9,7.5465,1.5204,2.0260,464.07,81.836,11.704,0.023141,vapor
137,358.54,0.058762,0.35900,2.7855,2488.3,2652.0,7.5382,1.5217,2.0280,464.42,81.106,11.725,0.023197,vapor
138,359.17,0.060209,0.36726,2.7228,2489.1,2653.0,7.5300,1.5230,2.0299,464.76,80.387,11.747,0.023253,vapor
139,359.79,0.061686,0.37569,2.6618,2489.8,2654.0,7.5218,1.5243,2.0319,465.10,79.678,11.769,0.023310,vapor
140,360.41,0.063192,0.38427,2.6024,2490.6,2655.1,7.5136,1.5256,2.0339,465.45,78.981,11.790,0.023367,vapor
141,361.03,0.064730,0.39301,2.5445,2491.4,2656.1,7.5055,1.5270,2.0359,465.79,78.293,11.812,0.023424,vapor
142,361.66,0.066298,0.40191,2.4881,2492.1,2657.1,7.4974,1.5283,2.0379,466.13,77.616,11.833,0.023481,vapor
143,362.28,0.067898,0.41098,2.4332,2492.9,2658.1,7.4893,1.5297,2.0400,466.47,76.948,11.855,0.023538,vapor
144,362.90,0.069530,0.42022,2.3797,2493.7,2659.1,7.4813,1.5310,2.0421,466.81,76.291,11.877,0.023596,vapor
145,363.53,0.071195,0.42962,2.3276,2494.4,2660.1,7.4733,1.5324,2.0442,467.14,75.642,11.898,0.023653,vapor
146,364.15,0.072893,0.43920,2.2769,2495.2,2661.2,7.4653,1.5338,2.0464,467.48,75.003,11.920,0.023711,vapor
147,364.77,0.074624,0.44895,2.2274,2496.0,2662.2,7.4574,1.5353,2.0485,467.81,74.374,11.941,0.023769,vapor
148,365.40,0.076390,0.45888,2.1792,2496.7,2663.2,7.4495,1.5367,2.0507,468.15,73.753,11.963,0.023828,vapor
149,366.02,0.078190,0.46899,2.1322,2497.5,2664.2,7.4417,1.5381,2.0529,468.48,73.140,11.985,0.023886,vapor
150,366.64,0.080025,0.47928,2.0865,2498.2,2665.2,7.4338,1.5396,2.0551,468.81,72.537,12.006,0.023945,vapor
151,367.27,0.081896,0.48975,2.0418,2499.0,2666.2,7.4260,1.5411,2.0574,469.14,71.942,12.028,0.024004,vapor
152,367.89,0.083803,0.50041,1.9983,2499.7,2667.2,7.4183,1.5426,2.0597,469.47,71.355,12.050,0.024063,vapor
153,368.51,0.085747,0.51126,1.9559,2500.5,2668.2,7.4106,1.5441,2.0620,469.80,70.776,12.071,0.024122,vapor
154,369.14,0.087729,0.52230,1.9146,2501.2,2669.2,7.4029,1.5456,2.0643,470.12,70.205,12.093,0.024182,vapor
155,369.76,0.089748,0.53354,1.8743,2502.0,2670.2,7.3952,1.5472,2.0667,470.45,69.642,12.114,0.024241,vapor
156,370.38,0.091805,0.54497,1.8350,2502.7,2671.2,7.3876,1.5487,2.0691,470.77,69.086,12.136,0.024301,vapor
157,371.01,0.093902,0.55661,1.7966,2503.5,2672.2,7.3800,1.5503,2.0715,471.09,68.538,12.158,0.024362,vapor
158,371.63,0.096038,0.56844,1.7592,2504.2,2673.2,7.3724,1.5519,2.0740,471.42,67.997,12.179,0.024422,vapor
159,372.25,0.098214,0.58048,1.7227,2505.0,2674.2,7.3649,1.5535,2.0764,471.74,67.463,12.201,0.024483,vapor
160,372.88,0.10043,0.59272,1.6871,2505.7,2675.1,7.3574,1.5551,2.0789,472.06,66.937,12.223,0.024543,vapor
161,373.50,0.10269,0.60518,1.6524,2506.4,2676.1,7.3499,1.5568,2.0815,472.37,66.417,12.244,0.024605,vapor
162,374.12,0.10499,0.61785,1.6185,2507.2,2677.1,7.3425,1.5584,2.0840,472.69,65.904,12.266,0.024666,vapor
163,374.75,0.10733,0.63073,1.5855,2507.9,2678.1,7.3351,1.5601,2.0866,473.01,65.397,12.288,0.024727,vapor
164,375.37,0.10972,0.64384,1.5532,2508.6,2679.1,7.3277,1.5618,2.0892,473.32,64.897,12.309,0.024789,vapor
165,375.99,0.11215,0.65716,1.5217,2509.4,2680.0,7.3204,1.5635,2.0919,473.63,64.404,12.331,0.024851,vapor
166,376.62,0.11462,0.67071,1.4910,2510.1,2681.0,7.3130,1.5652,2.0945,473.94,63.916,12.353,0.024913,vapor
167,377.24,0.11714,0.68448,1.4610,2510.8,2682.0,7.3058,1.5669,2.0972,474.25,63.435,12.374,0.024976,vapor
168,377.86,0.11970,0.69848,1.4317,2511.6,2682.9,7.2985,1.5687,2.1000,474.56,62.960,12.396,0.025038,vapor
169,378.49,0.12231,0.71272,1.4031,2512.3,2683.9,7.2913,1.5705,2.1027,474.87,62.490,12.417,0.025101,vapor
170,379.11,0.12497,0.72719,1.3752,2513.0,2684.9,7.2841,1.5723,2.1055,475.18,62.027,12.439,0.025164,vapor
